,t_out,gain,t_delta,gradient
2018-01-26 13:03:00,2018-01-26 13:36:00,0.01481066510703899,1980,7.480133892443934e-06
2018-01-26 15:07:00,2018-01-26 15:30:00,0.019033638080012016,1380,1.3792491362327548e-05
2018-02-05 09:42:00,2018-02-05 10:31:00,0.014530558042198383,2940,4.942366681019858e-06
2018-02-06 09:32:00,2018-02-06 09:38:00,0.005479785679493254,360,1.5221626887481262e-05
2018-02-06 10:44:00,2018-02-06 11:02:00,0.010905330944964708,1080,1.00975286527451e-05
2018-02-06 11:40:00,2018-02-06 11:59:00,0.01417964576427111,1140,1.2438285758132552e-05
2018-02-06 12:27:00,2018-02-06 12:44:00,0.020313877181158402,1020,1.9915565863880785e-05
2018-02-06 14:38:00,2018-02-06 15:14:00,0.030770607950389106,2160,1.4245651828883846e-05
2018-02-09 13:46:00,2018-02-09 14:28:00,0.017609470468431754,2520,6.987885106520537e-06
2018-02-09 15:30:00,2018-02-09 15:55:00,0.027625956455342937,1500,1.841730430356196e-05
2018-02-12 09:37:00,2018-02-12 09:49:00,0.005328509972624351,720,7.400708295311599e-06
2018-02-13 10:43:00,2018-02-13 11:11:00,0.005224152593852338,1680,3.1096146391978204e-06
2018-02-15 09:50:00,2018-02-15 10:07:00,0.0040490651423128465,1020,3.969671708149849e-06
2018-02-16 09:49:00,2018-02-16 09:58:00,0.0031656700668307725,540,5.862351975612542e-06
2018-03-05 09:32:00,2018-03-05 09:35:00,0.0033932813030199682,180,1.885156279455538e-05
2018-03-06 09:42:00,2018-03-06 10:03:00,0.005996511120802461,1260,4.759135810160684e-06
2018-03-07 09:31:00,2018-03-07 09:44:00,0.02009166489021541,780,2.5758544731045396e-05
2018-03-07 09:45:00,2018-03-07 09:53:00,0.025090102878344123,480,5.227104766321692e-05
2018-03-09 09:49:00,2018-03-09 10:12:00,0.005569056298096342,1380,4.035548042098799e-06
2018-03-08 10:05:00,2018-03-08 10:28:00,0.009235239182318056,1380,6.692202306027577e-06
2018-03-08 11:09:00,2018-03-08 11:32:00,0.012534328157032038,1380,9.082846490602926e-06
2018-03-12 09:43:00,2018-03-12 10:10:00,0.006377678126556985,1620,3.9368383497265334e-06
2018-03-12 10:20:00,2018-03-12 10:37:00,0.010225616907104884,1020,1.002511461480871e-05
2018-03-14 10:03:00,2018-03-14 10:34:00,0.006324187585133423,1860,3.4001008522222703e-06
2018-03-14 13:20:00,2018-03-14 13:43:00,0.013276007610237395,1380,9.620295369737242e-06
2018-03-16 14:32:00,2018-03-16 14:48:00,0.004528729125389264,960,4.717426172280483e-06
2018-03-21 09:32:00,2018-03-21 09:37:00,0.00472198130480872,300,1.5739937682695734e-05
